Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DDTTests,Chrome 69.0.3497.100,Data Driven Test,2018-10-23 20:05:08,2018-10-23 20:05:54,46.200s,PASSED
,,,,,,
Test Cases/LoginValidation/ValidatetheLogin DDF,Chrome 69.0.3497.100,Test,2018-10-23 20:05:08,2018-10-23 20:05:17,8.859s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 20:05:09,2018-10-23 20:05:13,4.309s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 20:05:13,2018-10-23 20:05:13,0.366s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 20:05:13,2018-10-23 20:05:13,0.042s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 20:05:13,2018-10-23 20:05:13,0.116s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-23 20:05:13,2018-10-23 20:05:14,0.081s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 20:05:14,2018-10-23 20:05:14,0.159s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 20:05:14,2018-10-23 20:05:14,0.144s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 20:05:14,2018-10-23 20:05:14,0.360s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 20:05:14,2018-10-23 20:05:14,0.123s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-23 20:05:14,2018-10-23 20:05:16,2.028s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-23 20:05:16,2018-10-23 20:05:17,0.808s,PASSED
,,,,,,
Test Cases/LoginValidation/ValidatetheLogin DDF,Chrome 69.0.3497.100,Test,2018-10-23 20:05:17,2018-10-23 20:05:25,7.395s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 20:05:17,2018-10-23 20:05:20,3.264s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 20:05:20,2018-10-23 20:05:21,0.346s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 20:05:21,2018-10-23 20:05:21,0.039s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 20:05:21,2018-10-23 20:05:21,0.101s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-23 20:05:21,2018-10-23 20:05:21,0.078s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 20:05:21,2018-10-23 20:05:21,0.146s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 20:05:21,2018-10-23 20:05:21,0.128s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 20:05:21,2018-10-23 20:05:22,0.315s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 20:05:22,2018-10-23 20:05:22,0.159s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-23 20:05:22,2018-10-23 20:05:24,2.001s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-23 20:05:24,2018-10-23 20:05:25,0.795s,PASSED
,,,,,,
Test Cases/LoginValidation/ValidatetheLogin DDF,Chrome 69.0.3497.100,Test,2018-10-23 20:05:25,2018-10-23 20:05:32,7.352s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 20:05:25,2018-10-23 20:05:28,3.289s,PASSED
